model,layer,projection,alpha,n_matrices,gini_base_mean,delta_gini_mean,delta_gini_max,top_sv_rel_mean,top_sv_rel_max,top_sv_abs_delta_mean,top_sv_abs_delta_max,top_to_geomean_base_mean,top_to_geomean_base_max
Qwen3 30B-A3B MoE,0,down_proj,0.2,128,0.2879,0.0434,0.0539,1.4319,2.1770,1.6819,6.6651,7.3493,48.8976
Qwen3 30B-A3B MoE,0,up_proj,0.2,128,0.3371,0.0502,0.0679,1.3712,2.0313,0.8793,2.4658,5.6961,34.5798
Qwen3 30B-A3B MoE,1,up_proj,0.2,128,0.2464,0.0440,0.0627,1.2350,1.8115,0.5632,3.6679,3.0285,19.5060
Qwen3 30B-A3B MoE,1,down_proj,0.2,128,0.2373,0.0437,0.0822,1.2916,1.5986,0.9784,3.8841,3.6801,10.4409
Qwen3 30B-A3B MoE,22,down_proj,0.2,128,0.2408,0.0451,0.0647,1.3005,1.5791,1.0397,4.1274,3.7923,9.8181
Qwen3 30B-A3B MoE,47,up_proj,0.2,128,0.2191,0.0406,0.0564,1.3418,1.5581,1.8540,4.9948,4.6687,9.1821
Qwen3 30B-A3B MoE,7,down_proj,0.2,128,0.2270,0.0422,0.0480,1.2879,1.5422,0.9520,4.1651,3.5782,8.7236
Qwen3 30B-A3B MoE,25,down_proj,0.2,128,0.2358,0.0438,0.0634,1.2714,1.5398,0.8566,3.6363,3.3878,8.6571
Qwen3 30B-A3B MoE,2,up_proj,0.2,128,0.2308,0.0424,0.0665,1.2222,1.5355,0.5304,1.9933,2.7605,8.5367
Qwen3 30B-A3B MoE,34,down_proj,0.2,128,0.2353,0.0440,0.0615,1.2961,1.5339,1.0476,3.4752,3.7285,8.4921
Qwen3 30B-A3B MoE,2,down_proj,0.2,128,0.2370,0.0444,0.0658,1.3118,1.5337,1.1098,2.0678,3.9298,8.4846
Qwen3 30B-A3B MoE,36,down_proj,0.2,128,0.2332,0.0436,0.0627,1.2744,1.5313,0.9239,3.4087,3.4583,8.4195
